id,.metric,.estimator,.estimate,.config
Resample01,accuracy,multiclass,0.9423220973782771,Preprocessor1_Model1
Resample01,kap,multiclass,0.9117902221398433,Preprocessor1_Model1
Resample01,bal_accuracy,macro,0.9676453559501854,Preprocessor1_Model1
Resample01,sens,macro,0.9497373072014832,Preprocessor1_Model1
Resample01,spec,macro,0.9855534046988875,Preprocessor1_Model1
Resample02,accuracy,multiclass,0.9697265625,Preprocessor1_Model1
Resample02,kap,multiclass,0.955897635388591,Preprocessor1_Model1
Resample02,bal_accuracy,macro,0.9486881615367164,Preprocessor1_Model1
Resample02,sens,macro,0.9042680019074869,Preprocessor1_Model1
Resample02,spec,macro,0.9931083211659458,Preprocessor1_Model1
Resample03,accuracy,multiclass,0.9404145077720207,Preprocessor1_Model1
Resample03,kap,multiclass,0.9188067017851916,Preprocessor1_Model1
Resample03,bal_accuracy,macro,0.9665198708041316,Preprocessor1_Model1
Resample03,sens,macro,0.9502954785649776,Preprocessor1_Model1
Resample03,spec,macro,0.9827442630432857,Preprocessor1_Model1
Resample04,accuracy,multiclass,0.9342723004694836,Preprocessor1_Model1
Resample04,kap,multiclass,0.8949424735303464,Preprocessor1_Model1
Resample04,bal_accuracy,macro,0.9368529121089417,Preprocessor1_Model1
Resample04,sens,macro,0.8886106140566988,Preprocessor1_Model1
Resample04,spec,macro,0.9850952101611845,Preprocessor1_Model1
Resample05,accuracy,multiclass,0.7777777777777778,Preprocessor1_Model1
Resample05,kap,multiclass,0.6888562871569086,Preprocessor1_Model1
Resample05,bal_accuracy,macro,0.8650649254581331,Preprocessor1_Model1
Resample05,sens,macro,0.7926357657603031,Preprocessor1_Model1
Resample05,spec,macro,0.937494085155963,Preprocessor1_Model1
Resample06,accuracy,multiclass,0.962673088500903,Preprocessor1_Model1
Resample06,kap,multiclass,0.9448347458285368,Preprocessor1_Model1
Resample06,bal_accuracy,macro,0.9432513051226372,Preprocessor1_Model1
Resample06,sens,macro,0.8946166863110872,Preprocessor1_Model1
Resample06,spec,macro,0.9918859239341872,Preprocessor1_Model1
Resample07,accuracy,multiclass,0.42759706190975866,Preprocessor1_Model1
Resample07,kap,multiclass,0.2728098664026637,Preprocessor1_Model1
Resample07,bal_accuracy,macro,0.8346203479748704,Preprocessor1_Model1
Resample07,sens,macro,0.7991446823977729,Preprocessor1_Model1
Resample07,spec,macro,0.870096013551968,Preprocessor1_Model1
Resample08,accuracy,multiclass,0.8890020366598778,Preprocessor1_Model1
Resample08,kap,multiclass,0.8304267925604385,Preprocessor1_Model1
Resample08,bal_accuracy,macro,0.9508994559394353,Preprocessor1_Model1
Resample08,sens,macro,0.9319477172312225,Preprocessor1_Model1
Resample08,spec,macro,0.9698511946476481,Preprocessor1_Model1
Resample09,accuracy,multiclass,0.9113218070273285,Preprocessor1_Model1
Resample09,kap,multiclass,0.8267537049719882,Preprocessor1_Model1
Resample09,bal_accuracy,macro,0.8185751856648431,Preprocessor1_Model1
Resample09,sens,macro,0.6627684045194305,Preprocessor1_Model1
Resample09,spec,macro,0.9743819668102558,Preprocessor1_Model1
Resample10,accuracy,multiclass,0.7330677290836654,Preprocessor1_Model1
Resample10,kap,multiclass,0.6291649209464376,Preprocessor1_Model1
Resample10,bal_accuracy,macro,NA,Preprocessor1_Model1
Resample10,sens,macro,0.8345588235294118,Preprocessor1_Model1
Resample10,spec,macro,0.9338273006169441,Preprocessor1_Model1
Resample11,accuracy,multiclass,0.959037711313394,Preprocessor1_Model1
Resample11,kap,multiclass,0.9397651628368449,Preprocessor1_Model1
Resample11,bal_accuracy,macro,0.9665851492367994,Preprocessor1_Model1
Resample11,sens,macro,0.9428289346097566,Preprocessor1_Model1
Resample11,spec,macro,0.9903413638638422,Preprocessor1_Model1
Resample12,accuracy,multiclass,0.7834618079887876,Preprocessor1_Model1
Resample12,kap,multiclass,0.5737836280824937,Preprocessor1_Model1
Resample12,bal_accuracy,macro,0.7714537147301972,Preprocessor1_Model1
Resample12,sens,macro,0.6078433683282741,Preprocessor1_Model1
Resample12,spec,macro,0.93506406113212015,Preprocessor1_Model1
Resample13,accuracy,multiclass,0.4411006018916595,Preprocessor1_Model1
Resample13,kap,multiclass,0.2894645817902918,Preprocessor1_Model1
Resample13,bal_accuracy,macro,0.8182423994901857,Preprocessor1_Model1
Resample13,sens,macro,0.7848789755136505,Preprocessor1_Model1
Resample13,spec,macro,0.851605823466721,Preprocessor1_Model1
Resample14,accuracy,multiclass,0.9753086419753086,Preprocessor1_Model1
Resample14,kap,multiclass,0.9632684620882737,Preprocessor1_Model1
Resample14,bal_accuracy,macro,0.9792950503666044,Preprocessor1_Model1
Resample14,sens,macro,0.9656429264281092,Preprocessor1_Model1
Resample14,spec,macro,0.9929471743050995,Preprocessor1_Model1
Resample15,accuracy,multiclass,0.8179519595448799,Preprocessor1_Model1
Resample15,kap,multiclass,0.7384409423143604,Preprocessor1_Model1
Resample15,bal_accuracy,macro,0.9212404540414716,Preprocessor1_Model1
Resample15,sens,macro,0.8874748991047803,Preprocessor1_Model1
Resample15,spec,macro,0.9550060089781629,Preprocessor1_Model1
Resample16,accuracy,multiclass,0.782345013477089,Preprocessor1_Model1
Resample16,kap,multiclass,0.4350284883159009,Preprocessor1_Model1
Resample16,bal_accuracy,macro,0.7677384445073252,Preprocessor1_Model1
Resample16,sens,macro,0.6633039430449069,Preprocessor1_Model1
Resample16,spec,macro,0.8721729459697435,Preprocessor1_Model1
Resample17,accuracy,multiclass,0.9447852760736196,Preprocessor1_Model1
Resample17,kap,multiclass,0.9277446682756243,Preprocessor1_Model1
Resample17,bal_accuracy,macro,0.9557787906421675,Preprocessor1_Model1
Resample17,sens,macro,0.9267399267399268,Preprocessor1_Model1
Resample17,spec,macro,0.9848176545444082,Preprocessor1_Model1
Resample18,accuracy,multiclass,0.8178228990411731,Preprocessor1_Model1
Resample18,kap,multiclass,0.7463776556145507,Preprocessor1_Model1
Resample18,bal_accuracy,macro,0.8902033790112195,Preprocessor1_Model1
Resample18,sens,macro,0.824552464211345,Preprocessor1_Model1
Resample18,spec,macro,0.955854293811094,Preprocessor1_Model1
Resample19,accuracy,multiclass,0.978386167146974,Preprocessor1_Model1
Resample19,kap,multiclass,0.9704862956898934,Preprocessor1_Model1
Resample19,bal_accuracy,macro,0.9856516409352271,Preprocessor1_Model1
Resample19,sens,macro,0.9774182293349158,Preprocessor1_Model1
Resample19,spec,macro,0.9938850525355382,Preprocessor1_Model1
Resample20,accuracy,multiclass,0.9947019867549669,Preprocessor1_Model1
Resample20,kap,multiclass,0.9836581634102491,Preprocessor1_Model1
Resample20,bal_accuracy,macro,0.9956903961699397,Preprocessor1_Model1
Resample20,sens,macro,0.9930872248051417,Preprocessor1_Model1
Resample20,spec,macro,0.998293567534738,Preprocessor1_Model1
Resample21,accuracy,multiclass,0.9723991507430998,Preprocessor1_Model1
Resample21,kap,multiclass,0.9596684302473233,Preprocessor1_Model1
Resample21,bal_accuracy,macro,0.9694626130461632,Preprocessor1_Model1
Resample21,sens,macro,0.9460669035123789,Preprocessor1_Model1
Resample21,spec,macro,0.9928583225799477,Preprocessor1_Model1
Resample22,accuracy,multiclass,0.9497066219614417,Preprocessor1_Model1
Resample22,kap,multiclass,0.8854991138098498,Preprocessor1_Model1
Resample22,bal_accuracy,macro,0.918182388142628,Preprocessor1_Model1
Resample22,sens,macro,0.8477795962902347,Preprocessor1_Model1
Resample22,spec,macro,0.9885851799950212,Preprocessor1_Model1
Resample23,accuracy,multiclass,0.6729464958553127,Preprocessor1_Model1
Resample23,kap,multiclass,0.5716613649734221,Preprocessor1_Model1
Resample23,bal_accuracy,macro,0.8356490344328885,Preprocessor1_Model1
Resample23,sens,macro,0.7505098592995789,Preprocessor1_Model1
Resample23,spec,macro,0.920788209566198,Preprocessor1_Model1
Resample24,accuracy,multiclass,0.8278388278388278,Preprocessor1_Model1
Resample24,kap,multiclass,0.759088500486083,Preprocessor1_Model1
Resample24,bal_accuracy,macro,0.9039913808401419,Preprocessor1_Model1
Resample24,sens,macro,0.8536544185311202,Preprocessor1_Model1
Resample24,spec,macro,0.9543283431491636,Preprocessor1_Model1
